run_id,source_dir,source_run_id,hidden_dim,learning_rate,lr_decay,weight_decay,best_epoch,best_val_accuracy,final_train_accuracy,final_val_accuracy,elapsed_seconds
1,grid_outputs_numpy16_highlr_30,1,128,0.04,0.9,0.0,30,0.6081481481481481,0.6508994708994709,0.6081481481481481,4.815743446350098
2,grid_outputs_numpy16_highlr_30,2,128,0.04,0.9,0.0001,27,0.6106172839506173,0.6500529100529101,0.6083950617283951,4.741995334625244
3,grid_outputs_numpy16_highlr_30,3,128,0.04,0.9,0.0005,30,0.6088888888888889,0.6505291005291005,0.6088888888888889,4.611185789108276
4,grid_outputs_numpy16_highlr_30,4,128,0.04,0.94,0.0,29,0.6279012345679013,0.6760846560846561,0.6269135802469136,4.6900553703308105
5,grid_outputs_numpy16_highlr_30,5,128,0.04,0.94,0.0001,26,0.6249382716049383,0.6775132275132275,0.6249382716049383,4.657568693161011
6,grid_outputs_numpy16_highlr_30,6,128,0.04,0.94,0.0005,22,0.6251851851851852,0.6740211640211641,0.6251851851851852,4.702665328979492
7,grid_outputs_numpy16_highlr_30,7,128,0.04,0.97,0.0,30,0.6385185185185185,0.701005291005291,0.6385185185185185,4.733513593673706
8,grid_outputs_numpy16_highlr_30,8,128,0.04,0.97,0.0001,30,0.6365432098765432,0.7025925925925925,0.6365432098765432,4.645664930343628
9,grid_outputs_numpy16_highlr_30,9,128,0.04,0.97,0.0005,30,0.6377777777777778,0.6997883597883597,0.6377777777777778,4.551719903945923
10,grid_outputs_numpy16_highlr_30,10,128,0.08,0.9,0.0,22,0.6417283950617284,0.6965608465608466,0.6392592592592593,4.454455852508545
11,grid_outputs_numpy16_highlr_30,11,128,0.08,0.9,0.0001,29,0.6377777777777778,0.6945502645502646,0.6377777777777778,4.465756893157959
12,grid_outputs_numpy16_highlr_30,12,128,0.08,0.9,0.0005,29,0.6353086419753087,0.6950793650793651,0.6338271604938271,4.707229137420654
13,grid_outputs_numpy16_highlr_30,13,128,0.08,0.94,0.0,29,0.6523456790123456,0.7230687830687831,0.6476543209876543,4.484408378601074
