class,mean_R,mean_G,mean_B,dominant_channel,abs_strength,row_peak,col_peak,top_positive_hidden_units
AnnualCrop,0.023649786,0.04012613,-0.05893153,G,0.09347979,1,4,485 416 488 2 263 215
Forest,-0.009324796,0.038159586,-0.061707962,G,0.09705073,13,7,216 138 226 416 165 364
HerbaceousVegetation,0.1301663,-0.10583873,-0.01763618,R,0.13565592,1,1,495 488 159 197 310 147
Highway,0.028046252,-0.03058264,-0.010129804,R,0.11510988,2,2,485 379 498 283 330 14
Industrial,-0.0009895856,-0.09395214,0.14174832,B,0.13724789,5,10,356 494 438 395 83 503
Pasture,-0.10526117,0.12650394,-0.041828237,G,0.13465965,10,11,197 335 35 293 421 404
PermanentCrop,0.029096529,0.042472843,-0.058948785,G,0.087760925,7,5,503 148 221 378 64 215
Residential,0.08470451,-0.10444181,0.046110068,R,0.121892534,8,14,283 422 151 456 437 415
River,-0.08543705,0.042630713,0.0072328504,G,0.12738895,8,8,444 181 173 170 263 464
SeaLake,-0.08835799,0.042448588,0.014440407,G,0.10941486,12,14,91 488 138 335 119 40
